Country,Year,Total,Life_expectancy,Population
Austria,2013,total,81.1365853658537,8479823
Austria,2014,female,84,4368617
Austria,2014,male,79.1,4177739
Austria,2014,total,81.490243902439,8546356
Austria,2015,female,83.7,4406308
Austria,2015,male,78.8,4236391
Austria,2015,total,81.190243902439,8642699
Austria,2016,female,84.1,4444184
Austria,2016,male,79.3,4292484
Austria,2016,total,81.6414634146342,8736668
Austria,2017,female,84,4472069
Austria,2017,male,79.4,4325497
Austria,2017,total,81.6439024390244,8797566
Austria,2018,female,84.1,4492681
Austria,2018,male,79.4,4347840
Austria,2018,total,81.6926829268293,8840521
Austria,2019,female,84.2,4511901
Austria,2019,male,79.7,4368019
Austria,2019,total,81.8951219512195,8879920
Austria,2020,female,83.6,4530017
Austria,2020,male,78.9,4386847
Austria,2020,total,81.1926829268293,8916864
Austria,2021,female,83.7,4549341
Austria,2021,male,78.8,4406456
Austria,2021,total,81.190243902439,8955797
Austria,2022,female,83.5,4592386
Austria,2022,male,78.8,4449465
Austria,2022,total,81.0926829268293,9041851
Austria,2023,female,..,4637070
Austria,2023,male,..,4494691
Austria,2023,total,..,9131761
Belarus,1960,female,72.736,4529311
Belarus,1960,male,65.939,3668689
Belarus,1960,total,69.2546097560976,8198000
Belarus,1961,female,73.124,4555861
Belarus,1961,male,66.514,3715355
Belarus,1961,total,69.7383902439024,8271216
Belarus,1962,female,73.04,4587148
Belarus,1962,male,66.055,3764780
Belarus,1962,total,69.4623170731708,8351928
Belarus,1963,female,73.121,4621177
Belarus,1963,male,66.461,3816055
Belarus,1963,total,69.7097804878049,8437232
Belarus,1964,female,74.2,4657004
Belarus,1964,male,67.209,3867220
Belarus,1964,total,70.619243902439,8524224
Belarus,1965,female,74.273,4693046
Belarus,1965,male,67.097,3916954
Belarus,1965,total,70.5974878048781,8610000
Belarus,1966,female,74.405,4729741
Belarus,1966,male,67.306,3966755
Belarus,1966,total,70.7689268292683,8696496
Belarus,1967,female,74.74,4767982
Belarus,1967,male,67.301,4017666
Belarus,1967,total,70.9297804878049,8785648
Belarus,1968,female,74.497,4806485
Belarus,1968,male,67.304,4068067
Belarus,1968,total,70.8127804878049,8874552
Belarus,1969,female,75.009,4843872
Belarus,1969,male,67.139,4116432
Belarus,1969,total,70.9780243902439,8960304
Belarus,1970,female,74.714,4879711
Belarus,1970,male,66.964,4160289
Belarus,1970,total,70.7444878048781,9040000
Belarus,1971,female,74.657,4915123
Belarus,1971,male,67.54,4200453
Belarus,1971,total,71.0117073170732,9115576
Belarus,1972,female,74.721,4949402
Belarus,1972,male,67.162,4239566
Belarus,1972,total,70.8493170731708,9188968
Belarus,1973,female,74.753,4980849
Belarus,1973,male,67.427,4276423
Belarus,1973,total,71.0006585365854,9257272
Belarus,1974,female,74.816,5008249
Belarus,1974,male,67.082,4309335
Belarus,1974,total,70.8546829268293,9317584
Belarus,1975,female,74.653,5030464
Belarus,1975,male,66.461,4336536
Belarus,1975,total,70.4570975609756,9367000
Belarus,1976,female,74.52,5050315
Belarus,1976,male,66.47,4360685
